column_name,column_comment
deposit,入金户数
organ_flag,产品类型
bs_flag,客群划分
total_asset,24年年初时点总资产
gp_balance,股票交易额
channel_name,渠道名称
client_id,客户号
channel_name,开户渠道
amount,销售额(新投顾有提佣，保留5小数)
entry_date,入库时间
entry_date,入库时间
fund_account,资金账户
channel_own,渠道归属（1-线上；0-线下）
channel_name,渠道
channel_own,渠道归属（1-线上；0-线下）
channel_name,渠道
online,线上开户数
online,线上开户数
is_online,渠道类别（线上/线下）
fund_account,资金账号
open_account,开户数
stock_code,基金代码
department,营业部
fund_account,资金账号
fund_account,资金账号
fund_account,资金账号
jj_balance,全客群基金佣金余额
customer_name,客户姓名
flag,"f .总榜 ,w 周榜，m 月榜"
tc_rate,提成比例
tc_rate,提成比例
client_id,客户号
channel_name,开户渠道
total_settle_cost,结算成本
channel_own,渠道归属（1-线上；0-线下）
book_origin,新老平台
book_origin,新老平台
book_origin,新老平台
live_name,直播名称
cc_type,订单类型
stock_account,股票账户
ag_shares_bus_balance,A股交易额
fund_account,资金账户
first_etf_date,首次交易ETF时间
cc_type,订单类型
cc_type,类型
bs_line,业务条线名称
bs_line,业务条线名称
register_date,注册日期
total_asset_all,总资产
bs_line,业务条线名称
rate,比例
active_user,活动户
user_id,参赛编码
brokerage_income,代理买卖证券业务收入
system_channel_name,渠道名称
turnover_1w,万元流失户
new_acc_dedup,新开户数（去重后）
new_client_total_assets,新开客户总资产额
fi_pub_fund_sales,固收公募销售额
channel_name,渠道
channel_name,渠道名称
system_channel_name,渠道
book_origin,来源
pay_time,支付时间
system_channel_name,归属渠道
advisor_name,开发投顾
client_id,客户号
fund_account,资金账户
turnover_1w,万元流失户
user_id,参赛编码
user_id,参赛编码
advisor_name,开发投顾
fund_account,资金账号
stock_code,ETF代码
stock_code,股票代码
curr_fund_asset,现金资产
stock_code,中签股票
fund_account,资金账号
purchased_product,购买的产品（投顾产品）
users_mt,新增户数
branch_no,营业部ID
lof_fund_market_value,LOF基金名称
purchased_product,购买的产品（投顾产品）
lof_fund_market_value,LOF基金名称
new_acc_ann_achv_rate,新增户数年度达成率
deposit_tr,线下当月转化-入金
gp_balance,全客群股票佣金余额
ag_shares_bus_balance,A股交易额
branch_name,营业部名称
branch_name,营业部
client_id,客户号
bs_flag,客群划分
fund_account,资金账号
cycle_attr,周期属性
user_id,开户预约号
stock_code,股票代码
nick_name,昵称
channel_name,渠道名称
fund_account,资金账户
branch_no_name,营业机构
channel_own,所属渠道
channel_name,渠道名称
channel_name,渠道
activity_id,活动id
cust_ty_cnt,提佣客户数
open_account,开户数
syl,日收益率
channel_set,渠道集
channel_set,渠道集
channel_lv1,一级渠道
channel_set,渠道集
channel_own,渠道
curr_total_asset,当前总资产
project,项目
curr_total_asset,当前总资产
curr_total_asset,当前总资产
channel_own,渠道
pre_tc,当年之前开户提成
manager_id,客户工号
channel_set,渠道集
channel_set,渠道集
occur_balance,两融利息收入
total_customers,总客户数
real_name,客户姓名
total_customers,总客户数
real_name,客户姓名
channel_set,渠道
channel_set,渠道
t0_price,t0可用资金
t0_price,t0可用资金
cnt,客户数
security_code,证券代码
total_asset,24年年初时点总资产
branch_no_name,营业部名称
branch_no_name,营业部名称
branch_no_name,营业部名称
branch_no_name,营业部名称
book_origin,新老平台
branch_no_name,营业部名称
channel_set,渠道集
client_basket_id,客户端篮子id
client_basket_id,客户端篮子id
channel_type,渠道类型
id_no,证件号码
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
book_origin,订阅来源，1同花顺，5大同证券app
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
code,证券代码
channel_type,渠道
open_date,开户日
total_asset_all,峰值资产
emp_mobile,员工手机号
branch_no,营业部
branch_no,营业部编号
branch_no,营业部
client_id,客户号
system_channel_name,归属渠道
condition1,是否满足条件1
branch_name,营业部名称
branch_name,营业部名称
branch_name,营业部名称
sub_visit_date,提交待回访时间
branch_no_name,营业机构
open_account,开户成功为1，失败是0
id_number,证件号码
id_number,证件号码
branch_no,机构代码
user_key,
bank_name,存管银行
goods_type,产品类型
is_alrm,告警标记
branch_name,营业部名称
is_alrm,告警标记
assetthreshold,产品购买资金门槛
doc_id,文档ID
doc_id,文档ID
doc_id,文档ID，对应MongoDB的_id字段
live_name,直播名称
forum,所属栏目
branch_no,营业机构
total,总开户数（万户）
stock_code,中签股票
pay_type,退签方式
order_no,订单号
new_accounts,开户数
user_id,用户ID
col_1,峰值资产日期
fund_account,资金账号
date_type,日期分类
fund_account,资金账号
fund_account,资金账号
fund_account,资金账号
mob_register_time,手机注册时间stk_step=kh_branch
cus_normal_num,账户状态正常户数
fund_asset,保证金余额
fund_asset,保证金余额
task_id,回访流水号
cur_year,当前年
open_account_cost,开户总成本
x_total_asset,期初总资产
open_account_quantity,开户数
name,姓名
fund_asset,24年年初时点保证金余额
num_00h,00点同步数据量
system_channel,渠道名称
breakpoint_task_state,任务状态
reject_type,驳回类型
total_user_cost,新户总成本
deposit,入金数
month,月份
curr_balance,息差余额
open_date,开户日期
account_name,账号
account_name,账号
account_name,账号
account_name,账号
account_name,账号
asset_23,23年资产
account_name,账号
branch_no,开户营业部code
new2r_cust_num,新两融有效户目标数
branch_no,营业部code
new2r_cust_num,有效户数目标任务
hkd_cny,港元汇率
channel_own,渠道归属1-线上；0-线下
new_customers,本期新增客户数
client_id,客户号
curr_total_asset,当前时点总资产
account_name,账号
repeat_account_2023,2023年重复开户数
asset,合并账户净资产≥50万的账户数
open_day,开户日期
customer_account,用户资金账号
target,目标
open_date,开户日期
is_deposit_account,当前入金户个数
curr_total_asset,总资产
product_type,产品类型(服务包、组合、增值产品)
orders,订单数
amount_ths,同花顺销售额(新投顾有提佣，保留5小数)
new_effective_account,新开客户有效户数
profit,创收
mt,开户月份
total_asset,总资产
total_asset,总资产
flag,资产类型
plat_refund,全平台退款额
